式番号,記号,日本語名,使うデータ,計算方法,範囲,高い/1の意味
2.2,Consensus_i,合意度,上位入りした方式の数,数える,0〜4,どの物差しでも上位＝頑健
2.2,M,4つの物差し,市場・業種・ロバストz・ウィンザライズz,―,―,―
2.2,N,上位の基準順位,上位N社,―,―,―
2.3,c_i,Phase2信頼度,加点・減点の合計を0〜1.1に丸める,足し引き＋範囲制限,0〜1.1,評価が信用できる
2.3,"clip(・,0,1.1)",範囲制限,0未満は0、1.1超は1.1にする,―,―,―
2.3,頑健/脆弱 等,各フラグ,正規化の頑健性・外れ値・欠損等,各0/1,―,―
3.1,S^Trans,変わる堀スコア（設計）,6要素の加重和−罰,加重和,0〜100目安,再評価の余地が大きい
3.1,"R_i, E_i",株主還元・改革開示,本来は開示データが必要,―,―,（データ不足で実装不能）
3.1,P^Trap,バリュートラップ罰,割安のワナを減点,―,―,罠の疑いが強い
3.2,"S^{Trans,partial}",変わる堀スコア（実装）,6要素の加重和−罰,加重和,0〜100,変化・再評価の余地が大きい
3.2,V_i,評価ギャップ,B/M・E/P の正規化合成,―,0〜100,割安度が大きい
3.2,C_i,資本効率改善,ROA等の3年変化,―,0〜100,効率が改善中
3.2,F_i,還元余力(FCF),営業CF−設備投資が正か,―,0〜100,株主還元の原資がある
3.2,Φ_i,分析信頼度,式 2.3,―,0〜1.1相当,評価が信用できる
3.2,P^Trap,バリュートラップ罰,高アクルーアル・当期CF赤字・継続赤字,―,0以上,割安のワナの疑い
3.3,S^Emerg,生まれる堀スコア,6要素の加重和＋証拠−過熱罰,加重和,0〜100,新しい競争優位が育っている
3.3,A_i,AI基盤接続,半導体・光通信等への関与,―,0〜100,構造変化の恩恵を受ける
3.3,B^{Evi},証拠加点,開示証拠の強さ（最大+8）,加点,0〜8,具体的証拠がある
3.3,P^{Hype},過熱ペナルティ,キーワードのみは18点減点,減点,0 または18,実体を伴わない言及だけ
3.4,L^{final},最終証拠水準,役割別に定める,場合分け,1〜3,3ほど数量的裏づけが強い
3.4,L^{TQ},定量証拠水準,財務数値の裏づけ,―,0〜3,―
3.4,L^{EM},新興開示水準,製品・売上等の開示,―,0〜3,―
3.4,L^{TR},改革開示水準,（全社同値・識別力なし）,―,―,採用根拠に不使用
4.1,ω_i,最終目標比率,役割予算×役割内シェア,割り算,0〜0.08,投資額が増える
4.1,B_{r(i)},役割予算,"Buffett/Trans/Emerging各25%,Dual15%,Bridge10%",固定値,0〜1,役割全体の予算が大きい
4.1,ρ_i,役割内優先度,ℓ×e×c÷σ,掛け・割り,0以上,同役割内で厚く配分
4.1,ℓ_i,流動性係数,売買代金 5000万↑=1.00/3000万↑=0.85/未満=0.70,段階値,0.70〜1.00,売買しやすい
4.1,e_i,証拠係数,1+0.05×(証拠水準−2),式,0.95〜1.05,証拠が強い
4.1,c_i,信頼度係数,0.5+0.5×Phase2信頼度,式,0.5〜1.05,評価が信用できる
4.1,σ_i,株価変動リスク,直近1年の日次収益率の年率標準偏差（下限0.10）,標準偏差,0.10以上,大きいと配分が減る
4.2,q_i,購入株数,（目標金額÷1単元の値段）を切り捨て×単元,切り捨て,0以上（株）,多く買う
4.2,L_i,売買単位,基準1株（単元未満株）／感度100株,―,1 または100,―
4.2,B,総予算,500万円,固定,円,―
4.2,ω_i,目標比率,式 4.1,―,0〜0.08,―
4.2,floor(・),切り捨て,端数の株は買わない,―,―,―
5.1,Sharpe,シャープ比,超過収益÷リスク,割り算,―,リスクの割に効率的だった
5.1,r̄_p,年率リターン,ポートフォリオの年率収益,―,―,―
5.1,r_f,無リスク金利,ほぼ0とみなす,―,―,―
5.1,σ_p,リスク,年率の価格変動の大きさ,標準偏差,0以上,変動が大きい
5.2,MDD,最大ドローダウン,ピーク比の最大下落率,最小値,−1〜0,絶対値が大きいほど深く下落
5.2,C_t,累積価値,ポートフォリオの累積指数,―,0以上,―
5.3,α_p,アルファ,市場で説明できない超過分,引き算,―,上乗せがあった
5.3,β_p,ベータ,市場との連動度,共分散÷分散,0以上,1超は市場より大きく動く
5.3,r_m,市場リターン,TOPIXプロキシ,―,―,―
5.4,IR,情報比,超過リターン÷超過のブレ,割り算,―,安定して市場に勝っていた
5.4,r̄_b,ベンチマーク,TOPIXプロキシの年率,―,―,―
5.4,σ_{p-b},トラッキングエラー,超過リターンの標準偏差,標準偏差,0以上,市場との乖離が大きい
5.5,HHI,集中度,各グループ比率の2乗和,2乗和,0〜1,大きいほど集中
5.5,g,グループ,銘柄・業種・テーマ,―,―,―
5.5,ω_i,比率,式 4.1,―,0〜0.08,―
